0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.396711,-0.911771,-0.106273,-0.638140,-0.267385,-0.004027,-0.963581,-0.278599,0.878138,0.410679,-0.245391,-0.311729,0.000000,0.000000,0.000000,1.000000
0.161453,-0.973990,-0.158983,-0.458022,-0.618191,0.025759,-0.785606,-0.217155,0.769268,0.225120,-0.597953,-0.599289,0.000000,0.000000,0.000000,1.000000
-0.687044,-0.522642,0.504792,-0.217720,-0.508891,-0.149780,-0.847700,-0.316390,0.518652,-0.839292,-0.163063,-0.530069,0.000000,0.000000,0.000000,1.000000
-0.661400,-0.672904,0.331284,-0.361882,-0.649436,0.292838,-0.701768,-0.230240,0.375210,-0.679298,-0.630691,-0.498629,0.000000,0.000000,0.000000,1.000000
-0.075010,-0.972193,-0.221842,-0.658297,-0.405010,0.232995,-0.884127,-0.396088,0.911230,0.023530,-0.411225,-0.230911,0.000000,0.000000,0.000000,1.000000
-0.076750,-0.539955,0.838187,0.047503,-0.996986,0.051086,-0.058381,-0.191408,-0.011297,-0.840142,-0.542249,-0.628355,0.000000,0.000000,0.000000,1.000000
-0.765471,-0.221847,0.604019,-0.140910,-0.639192,0.154087,-0.753452,-0.288660,0.074079,-0.962830,-0.259752,-0.510519,0.000000,0.000000,0.000000,1.000000
-0.458604,-0.665752,0.588606,-0.296450,-0.794602,0.010668,-0.607037,-0.484789,0.397856,-0.746097,-0.533901,-0.407083,0.000000,0.000000,0.000000,1.000000
-0.469741,-0.882759,-0.008902,-0.599803,-0.692007,0.374460,-0.617175,-0.219031,0.548150,-0.283752,-0.786775,-0.388098,0.000000,0.000000,0.000000,1.000000
0.311323,-0.845458,0.433910,-0.190001,-0.556413,-0.532322,-0.637995,-0.324860,0.770378,-0.042811,-0.636148,-0.553822,0.000000,0.000000,0.000000,1.000000
0.006325,-0.997111,-0.075689,-0.644663,-0.790081,0.041414,-0.611603,-0.176042,0.612970,0.063669,-0.787536,-0.340032,0.000000,0.000000,0.000000,1.000000
-0.677115,-0.574524,0.459824,-0.148301,-0.599437,0.068183,-0.797512,-0.206551,0.426837,-0.815643,-0.390559,-0.619744,0.000000,0.000000,0.000000,1.000000
-0.058796,-0.956355,0.286229,-0.382688,-0.381183,-0.243491,-0.891859,-0.394794,0.922628,-0.161543,-0.350230,-0.531761,0.000000,0.000000,0.000000,1.000000
-0.535202,-0.837546,0.109886,-0.207300,-0.107413,-0.061552,-0.992307,-0.212517,0.837867,-0.542888,-0.057020,-0.605056,0.000000,0.000000,0.000000,1.000000
0.411627,-0.864093,-0.289666,-0.704735,-0.617981,-0.031040,-0.785580,-0.343605,0.669823,0.502374,-0.546770,-0.141101,0.000000,0.000000,0.000000,1.000000
-0.445023,-0.654611,0.611096,-0.219521,-0.712741,-0.154233,-0.684261,-0.367913,0.542176,-0.740065,-0.397931,-0.566865,0.000000,0.000000,0.000000,1.000000
-0.836597,-0.516752,0.181859,-0.441125,-0.256604,0.076349,-0.963496,-0.216361,0.484004,-0.852724,-0.196474,-0.395182,0.000000,0.000000,0.000000,1.000000
-0.244289,-0.685568,0.685798,-0.060840,-0.722884,-0.342643,-0.600029,-0.239488,0.646345,-0.642333,-0.411882,-0.575795,0.000000,0.000000,0.000000,1.000000
0.332072,-0.770144,0.544616,-0.274922,-0.556825,-0.626096,-0.545848,-0.535512,0.761363,-0.121995,-0.636745,-0.311259,0.000000,0.000000,0.000000,1.000000
0.204057,-0.947221,0.247250,-0.540759,-0.465076,-0.316041,-0.826935,-0.521557,0.861432,0.053752,-0.505021,-0.134747,0.000000,0.000000,0.000000,1.000000
-0.428648,-0.368008,0.825125,-0.136498,-0.744608,-0.373342,-0.553331,-0.499320,0.511684,-0.851578,-0.113990,-0.314378,0.000000,0.000000,0.000000,1.000000
0.162368,-0.974189,-0.156820,-0.725532,-0.245713,0.114004,-0.962615,-0.214223,0.955647,0.194831,-0.220860,-0.150401,0.000000,0.000000,0.000000,1.000000
-0.290394,-0.956528,0.026938,-0.657113,-0.371813,0.086851,-0.924236,-0.396712,0.881718,-0.278408,-0.380870,-0.106607,0.000000,0.000000,0.000000,1.000000
-0.154694,-0.613044,0.774756,0.019120,-0.759379,-0.427863,-0.490180,-0.295749,0.631992,-0.664162,-0.399344,-0.637480,0.000000,0.000000,0.000000,1.000000
-0.845576,-0.501274,0.183642,-0.029867,-0.169861,-0.073491,-0.982724,-0.199029,0.506110,-0.862162,-0.023005,-0.558987,0.000000,0.000000,0.000000,1.000000
-0.480555,-0.808214,0.340379,-0.331475,-0.820147,0.276751,-0.500768,-0.238297,0.310527,-0.519807,-0.795848,-0.588666,0.000000,0.000000,0.000000,1.000000
0.261518,-0.963366,-0.059453,-0.617888,-0.713403,-0.151438,-0.684194,-0.434285,0.650126,0.221343,-0.726872,-0.171289,0.000000,0.000000,0.000000,1.000000
-0.077830,-0.936837,0.340997,-0.141690,-0.507234,-0.257247,-0.822519,-0.267141,0.858287,-0.236982,-0.455174,-0.662425,0.000000,0.000000,0.000000,1.000000
0.337639,-0.940404,-0.040499,-0.572565,-0.730458,-0.234639,-0.641386,-0.380893,0.593659,0.246140,-0.766149,-0.317655,0.000000,0.000000,0.000000,1.000000
0.436692,-0.837197,-0.329244,-0.674933,-0.430645,0.126785,-0.893572,-0.384345,0.789838,0.532003,-0.305169,-0.322634,0.000000,0.000000,0.000000,1.000000
-0.519748,-0.706323,0.480593,-0.386820,-0.435145,-0.265232,-0.860407,-0.434818,0.735194,-0.656323,-0.169500,-0.298980,0.000000,0.000000,0.000000,1.000000
-0.066146,-0.892992,0.445186,-0.287653,-0.770936,-0.237512,-0.590969,-0.506104,0.633468,-0.382300,-0.672729,-0.421030,0.000000,0.000000,0.000000,1.000000
-0.408032,-0.905922,-0.113202,-0.611134,-0.614858,0.364335,-0.699435,-0.316655,0.674877,-0.215789,-0.705674,-0.341681,0.000000,0.000000,0.000000,1.000000
-0.066544,-0.965202,0.252896,-0.332120,-0.513414,-0.184207,-0.838137,-0.490000,0.855557,-0.185613,-0.483290,-0.530340,0.000000,0.000000,0.000000,1.000000
-0.866293,-0.451218,0.214333,-0.221630,-0.276289,0.075331,-0.958118,-0.221893,0.416174,-0.889229,-0.189925,-0.518828,0.000000,0.000000,0.000000,1.000000
-0.341642,-0.811305,0.474409,-0.189174,-0.742019,-0.076946,-0.665948,-0.224694,0.576791,-0.579537,-0.575716,-0.613261,0.000000,0.000000,0.000000,1.000000
-0.926090,0.058518,0.372737,-0.127546,-0.363471,0.126671,-0.922954,-0.216140,-0.101224,-0.990217,-0.096039,-0.533248,0.000000,0.000000,0.000000,1.000000
-0.182123,-0.739069,0.648543,0.095547,-0.936326,-0.071024,-0.343875,-0.138326,0.300210,-0.669875,-0.679074,-0.656600,0.000000,0.000000,0.000000,1.000000
-0.121817,-0.662169,0.739387,-0.273968,-0.196394,-0.714126,-0.671903,-0.600499,0.972929,-0.227060,-0.043053,-0.258285,0.000000,0.000000,0.000000,1.000000
-0.411763,-0.846369,0.337803,-0.248968,-0.852736,0.227123,-0.470380,-0.257894,0.321392,-0.481742,-0.815250,-0.646889,0.000000,0.000000,0.000000,1.000000
-0.163300,-0.882882,0.440287,-0.129309,-0.568457,-0.280547,-0.773402,-0.245591,0.806344,-0.376581,-0.456067,-0.659069,0.000000,0.000000,0.000000,1.000000
-0.560209,-0.699434,0.443800,-0.302897,-0.782729,0.271619,-0.559963,-0.273932,0.271113,-0.661071,-0.699631,-0.577604,0.000000,0.000000,0.000000,1.000000
-0.209352,-0.839874,0.500783,-0.059013,-0.623895,-0.279618,-0.729773,-0.257432,0.752945,-0.465215,-0.465455,-0.642616,0.000000,0.000000,0.000000,1.000000
0.128644,-0.651159,0.747959,-0.196795,-0.333193,-0.738762,-0.585845,-0.609166,0.934041,-0.173849,-0.311999,-0.339057,0.000000,0.000000,0.000000,1.000000
-0.652497,-0.424301,0.627866,-0.045278,-0.725597,0.110886,-0.679127,-0.170466,0.218532,-0.898706,-0.380225,-0.601234,0.000000,0.000000,0.000000,1.000000
-0.500463,-0.864803,0.040653,-0.574545,-0.352503,0.160656,-0.921917,-0.264817,0.790746,-0.475715,-0.385248,-0.384205,0.000000,0.000000,0.000000,1.000000
-0.295573,-0.616531,0.729744,-0.173099,-0.935210,0.030830,-0.352748,-0.438691,0.194982,-0.786727,-0.585698,-0.499656,0.000000,0.000000,0.000000,1.000000
0.004816,-0.804154,0.594402,-0.283946,-0.740903,-0.402076,-0.537957,-0.375662,0.671595,-0.437803,-0.597737,-0.520040,0.000000,0.000000,0.000000,1.000000
-0.685958,-0.395790,0.610583,-0.058702,-0.717572,0.507071,-0.477461,-0.186601,-0.120635,-0.765656,-0.631837,-0.624938,0.000000,0.000000,0.000000,1.000000
0.056087,-0.958290,-0.280240,-0.712807,-0.460032,0.224309,-0.859102,-0.266593,0.886129,0.177104,-0.428263,-0.240396,0.000000,0.000000,0.000000,1.000000
-0.300369,-0.951202,-0.070661,-0.390081,-0.623776,0.251938,-0.739886,-0.298285,0.721583,-0.178162,-0.669011,-0.629564,0.000000,0.000000,0.000000,1.000000
-0.177358,-0.982319,-0.059943,-0.687108,-0.177255,0.091797,-0.979874,-0.215566,0.968052,-0.163164,-0.190402,-0.231518,0.000000,0.000000,0.000000,1.000000
0.180274,-0.940288,-0.288722,-0.563237,-0.688398,0.089053,-0.719846,-0.258945,0.702574,0.328525,-0.631238,-0.383036,0.000000,0.000000,0.000000,1.000000
0.075702,-0.809879,0.581691,-0.120013,-0.563834,-0.515914,-0.644922,-0.376651,0.822411,-0.279155,-0.495693,-0.636834,0.000000,0.000000,0.000000,1.000000
-0.314823,-0.566730,0.761383,-0.120695,-0.911697,-0.042558,-0.408654,-0.404671,0.263999,-0.822804,-0.503287,-0.498594,0.000000,0.000000,0.000000,1.000000
-0.284086,-0.907671,-0.308916,-0.647712,-0.452592,0.410985,-0.791361,-0.283221,0.845255,-0.085002,-0.527560,-0.284494,0.000000,0.000000,0.000000,1.000000
-0.115747,-0.741868,0.660480,-0.159095,-0.869427,-0.245873,-0.428536,-0.382276,0.480311,-0.623841,-0.616541,-0.539428,0.000000,0.000000,0.000000,1.000000
0.390198,-0.534436,0.749749,-0.252861,0.364266,-0.658255,-0.658795,-0.654426,0.845610,0.530169,-0.062173,-0.284513,0.000000,0.000000,0.000000,1.000000
-0.695056,-0.396432,0.599782,-0.194519,-0.679618,0.090116,-0.728010,-0.349280,0.234557,-0.913630,-0.332058,-0.540518,0.000000,0.000000,0.000000,1.000000
-0.545743,-0.453620,0.704552,-0.127465,-0.823729,0.136159,-0.550393,-0.280031,0.153738,-0.880732,-0.447968,-0.567197,0.000000,0.000000,0.000000,1.000000
-0.207270,-0.835037,0.509659,-0.154355,-0.393037,-0.405998,-0.825038,-0.329671,0.895858,-0.371320,-0.244049,-0.608119,0.000000,0.000000,0.000000,1.000000
0.360149,-0.798780,0.481916,-0.093941,-0.603378,-0.593434,-0.532701,-0.293057,0.711496,-0.098926,-0.695692,-0.683560,0.000000,0.000000,0.000000,1.000000
-0.355124,-0.375717,0.855992,-0.062965,-0.930252,0.051631,-0.363270,-0.207834,0.092291,-0.925295,-0.367847,-0.581671,0.000000,0.000000,0.000000,1.000000
-0.864785,-0.285201,0.413287,-0.250897,-0.397927,-0.112763,-0.910460,-0.322416,0.306268,-0.951811,-0.015974,-0.544040,0.000000,0.000000,0.000000,1.000000
-0.373336,-0.927681,-0.005242,-0.564648,-0.701989,0.286193,-0.652154,-0.197294,0.606491,-0.239793,-0.758068,-0.444302,0.000000,0.000000,0.000000,1.000000
-0.129461,-0.932119,0.338222,-0.277525,-0.464349,-0.244391,-0.851266,-0.348245,0.876139,-0.267259,-0.401189,-0.571346,0.000000,0.000000,0.000000,1.000000
0.279702,-0.630969,0.723634,-0.176504,-0.276215,-0.774735,-0.568763,-0.576129,0.919496,-0.040794,-0.390977,-0.424746,0.000000,0.000000,0.000000,1.000000
0.261570,-0.750840,0.606482,-0.265024,-0.315651,-0.660352,-0.681395,-0.603791,0.912110,-0.013204,-0.409732,-0.288475,0.000000,0.000000,0.000000,1.000000
0.458446,-0.869278,-0.184889,-0.588062,-0.644287,-0.181787,-0.742864,-0.400338,0.612145,0.459685,-0.643404,-0.374890,0.000000,0.000000,0.000000,1.000000
0.076755,-0.992540,0.094724,-0.411353,-0.300964,-0.113636,-0.946841,-0.328455,0.950541,0.044167,-0.307441,-0.576871,0.000000,0.000000,0.000000,1.000000
0.713439,-0.615592,-0.334740,-0.702077,-0.537105,-0.173619,-0.825455,-0.375041,0.450026,0.768702,-0.454504,-0.213832,0.000000,0.000000,0.000000,1.000000
0.817306,-0.531071,-0.223550,-0.591772,-0.434327,-0.312859,-0.844677,-0.579853,0.378643,0.787454,-0.486360,-0.063590,0.000000,0.000000,0.000000,1.000000
0.531851,-0.813231,0.236198,-0.607240,0.000685,-0.278504,-0.960435,-0.470160,0.846837,0.510970,-0.147566,-0.173688,0.000000,0.000000,0.000000,1.000000
0.197584,-0.832588,0.517453,-0.362623,-0.103990,-0.542682,-0.833476,-0.542264,0.974755,0.110872,-0.193806,-0.347986,0.000000,0.000000,0.000000,1.000000
-0.371761,-0.914184,0.161435,-0.233228,-0.533429,0.068041,-0.843104,-0.184622,0.759768,-0.399547,-0.512947,-0.607767,0.000000,0.000000,0.000000,1.000000
0.371970,-0.911178,-0.177178,-0.566076,-0.594976,-0.087529,-0.798963,-0.563911,0.712490,0.402607,-0.574687,-0.171681,0.000000,0.000000,0.000000,1.000000
0.005414,-0.968013,0.250843,-0.526564,-0.260547,-0.243548,-0.934237,-0.562193,0.965446,-0.060298,-0.253531,-0.180968,0.000000,0.000000,0.000000,1.000000
0.000946,-0.859976,0.510333,-0.462928,-0.167634,-0.503248,-0.847726,-0.606219,0.985849,-0.084747,-0.144638,-0.143314,0.000000,0.000000,0.000000,1.000000
-0.606585,-0.202492,0.768798,-0.176897,-0.722847,0.543057,-0.427295,-0.195839,-0.330978,-0.814915,-0.475781,-0.558847,0.000000,0.000000,0.000000,1.000000
